path,label
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_1__0.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_1__1.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_1__2.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_1__3.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_1__4.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_1__5.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_1__6.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_1__7.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_1__8.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_1__9.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_3__0.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_3__1.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_3__2.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_3__3.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_3__4.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_3__5.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_3__6.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_3__7.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_3__8.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_3__9.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_5__0.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_5__1.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_5__2.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_5__3.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_5__4.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_5__5.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_5__6.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_5__7.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_5__8.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_5__9.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_6__0.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_6__1.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_6__2.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_6__3.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_6__4.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_6__5.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_6__6.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_6__7.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_6__8.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_6__9.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_9__0.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_9__1.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_9__2.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_9__3.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_9__4.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_9__5.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_9__6.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_9__7.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_9__8.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_9__9.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_10__0.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_10__1.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_10__2.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_10__3.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_10__4.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_10__5.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_10__6.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_10__7.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_10__8.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_10__9.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_12__0.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_12__1.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_12__2.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_12__3.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_12__4.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_12__5.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_12__6.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_12__7.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_12__8.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Assault/Assault_12__9.npy,Assault
/media/Data1/msad_dataset/vitl/rgb/Explosion/Explosion_2__0.npy,Explosion
/media/Data1/msad_dataset/vitl/rgb/Explosion/Explosion_2__1.npy,Explosion
/media/Data1/msad_dataset/vitl/rgb/Explosion/Explosion_2__2.npy,Explosion
/media/Data1/msad_dataset/vitl/rgb/Explosion/Explosion_2__3.npy,Explosion
/media/Data1/msad_dataset/vitl/rgb/Explosion/Explosion_2__4.npy,Explosion
/media/Data1/msad_dataset/vitl/rgb/Explosion/Explosion_2__5.npy,Explosion
/media/Data1/msad_dataset/vitl/rgb/Explosion/Explosion_2__6.npy,Explosion
/media/Data1/msad_dataset/vitl/rgb/Explosion/Explosion_2__7.npy,Explosion
/media/Data1/msad_dataset/vitl/rgb/Explosion/Explosion_2__8.npy,Explosion
/media/Data1/msad_dataset/vitl/rgb/Explosion/Explosion_2__9.npy,Explosion
/media/Data1/msad_dataset/vitl/rgb/Explosion/Explosion_4__0.npy,Explosion
/media/Data1/msad_dataset/vitl/rgb/Explosion/Explosion_4__1.npy,Explosion
/media/Data1/msad_dataset/vitl/rgb/Explosion/Explosion_4__2.npy,Explosion
/media/Data1/msad_dataset/vitl/rgb/Explosion/Explosion_4__3.npy,Explosion
/media/Data1/msad_dataset/vitl/rgb/Explosion/Explosion_4__4.npy,Explosion
/media/Data1/msad_dataset/vitl/rgb/Explosion/Explosion_4__5.npy,Explosion
/media/Data1/msad_dataset/vitl/rgb/Explosion/Explosion_4__6.npy,Explosion
/media/Data1/msad_dataset/vitl/rgb/Explosion/Explosion_4__7.npy,Explosion
/media/Data1/msad_dataset/vitl/rgb/Explosion/Explosion_4__8.npy,Explosion
/media/Data1/msad_dataset/vitl/rgb/Explosion/Explosion_4__9.npy,Explosion
/media/Data1/msad_dataset/vitl/rgb/Explosion/Explosion_6__0.npy,Explosion
/media/Data1/msad_dataset/vitl/rgb/Explosion/Explosion_6__1.npy,Explosion
/media/Data1/msad_dataset/vitl/rgb/Explosion/Explosion_6__2.npy,Explosion
/media/Data1/msad_dataset/vitl/rgb/Explosion/Explosion_6__3.npy,Explosion
/media/Data1/msad_dataset/vitl/rgb/Explosion/Explosion_6__4.npy,Explosion
/media/Data1/msad_dataset/vitl/rgb/Explosion/Explosion_6__5.npy,Explosion
/media/Data1/msad_dataset/vitl/rgb/Explosion/Explosion_6__6.npy,Explosion
/media/Data1/msad_dataset/vitl/rgb/Explosion/Explosion_6__7.npy,Explosion
/media/Data1/msad_dataset/vitl/rgb/Explosion/Explosion_6__8.npy,Explosion
/media/Data1/msad_dataset/vitl/rgb/Explosion/Explosion_6__9.npy,Explosion
/media/Data1/msad_dataset/vitl/rgb/Explosion/Explosion_8__0.npy,Explosion
/media/Data1/msad_dataset/vitl/rgb/Explosion/Explosion_8__1.npy,Explosion
/media/Data1/msad_dataset/vitl/rgb/Explosion/Explosion_8__2.npy,Explosion
/media/Data1/msad_dataset/vitl/rgb/Explosion/Explosion_8__3.npy,Explosion
/media/Data1/msad_dataset/vitl/rgb/Explosion/Explosion_8__4.npy,Explosion
/media/Data1/msad_dataset/vitl/rgb/Explosion/Explosion_8__5.npy,Explosion
/media/Data1/msad_dataset/vitl/rgb/Explosion/Explosion_8__6.npy,Explosion
/media/Data1/msad_dataset/vitl/rgb/Explosion/Explosion_8__7.npy,Explosion
/media/Data1/msad_dataset/vitl/rgb/Explosion/Explosion_8__8.npy,Explosion
/media/Data1/msad_dataset/vitl/rgb/Explosion/Explosion_8__9.npy,Explosion
/media/Data1/msad_dataset/vitl/rgb/Explosion/Explosion_10__0.npy,Explosion
/media/Data1/msad_dataset/vitl/rgb/Explosion/Explosion_10__1.npy,Explosion
/media/Data1/msad_dataset/vitl/rgb/Explosion/Explosion_10__2.npy,Explosion
