path,label
/media/Data1/shang_dataset/vitl/rgb/car/01_0130__0.npy,car
/media/Data1/shang_dataset/vitl/rgb/car/01_0130__1.npy,car
/media/Data1/shang_dataset/vitl/rgb/car/01_0130__2.npy,car
/media/Data1/shang_dataset/vitl/rgb/car/01_0130__3.npy,car
/media/Data1/shang_dataset/vitl/rgb/car/01_0130__4.npy,car
/media/Data1/shang_dataset/vitl/rgb/car/01_0130__5.npy,car
/media/Data1/shang_dataset/vitl/rgb/car/01_0130__6.npy,car
/media/Data1/shang_dataset/vitl/rgb/car/01_0130__7.npy,car
/media/Data1/shang_dataset/vitl/rgb/car/01_0130__8.npy,car
/media/Data1/shang_dataset/vitl/rgb/car/01_0130__9.npy,car
/media/Data1/shang_dataset/vitl/rgb/car/12_0152__0.npy,car
/media/Data1/shang_dataset/vitl/rgb/car/12_0152__1.npy,car
/media/Data1/shang_dataset/vitl/rgb/car/12_0152__2.npy,car
/media/Data1/shang_dataset/vitl/rgb/car/12_0152__3.npy,car
/media/Data1/shang_dataset/vitl/rgb/car/12_0152__4.npy,car
/media/Data1/shang_dataset/vitl/rgb/car/12_0152__5.npy,car
/media/Data1/shang_dataset/vitl/rgb/car/12_0152__6.npy,car
/media/Data1/shang_dataset/vitl/rgb/car/12_0152__7.npy,car
/media/Data1/shang_dataset/vitl/rgb/car/12_0152__8.npy,car
/media/Data1/shang_dataset/vitl/rgb/car/12_0152__9.npy,car
/media/Data1/shang_dataset/vitl/rgb/chasing/03_0035__0.npy,chasing
/media/Data1/shang_dataset/vitl/rgb/chasing/03_0035__1.npy,chasing
/media/Data1/shang_dataset/vitl/rgb/chasing/03_0035__2.npy,chasing
/media/Data1/shang_dataset/vitl/rgb/chasing/03_0035__3.npy,chasing
/media/Data1/shang_dataset/vitl/rgb/chasing/03_0035__4.npy,chasing
/media/Data1/shang_dataset/vitl/rgb/chasing/03_0035__5.npy,chasing
/media/Data1/shang_dataset/vitl/rgb/chasing/03_0035__6.npy,chasing
/media/Data1/shang_dataset/vitl/rgb/chasing/03_0035__7.npy,chasing
/media/Data1/shang_dataset/vitl/rgb/chasing/03_0035__8.npy,chasing
/media/Data1/shang_dataset/vitl/rgb/chasing/03_0035__9.npy,chasing
/media/Data1/shang_dataset/vitl/rgb/chasing/03_0061__0.npy,chasing
/media/Data1/shang_dataset/vitl/rgb/chasing/03_0061__1.npy,chasing
/media/Data1/shang_dataset/vitl/rgb/chasing/03_0061__2.npy,chasing
/media/Data1/shang_dataset/vitl/rgb/chasing/03_0061__3.npy,chasing
/media/Data1/shang_dataset/vitl/rgb/chasing/03_0061__4.npy,chasing
/media/Data1/shang_dataset/vitl/rgb/chasing/03_0061__5.npy,chasing
/media/Data1/shang_dataset/vitl/rgb/chasing/03_0061__6.npy,chasing
/media/Data1/shang_dataset/vitl/rgb/chasing/03_0061__7.npy,chasing
/media/Data1/shang_dataset/vitl/rgb/chasing/03_0061__8.npy,chasing
/media/Data1/shang_dataset/vitl/rgb/chasing/03_0061__9.npy,chasing
/media/Data1/shang_dataset/vitl/rgb/chasing/04_0001__0.npy,chasing
/media/Data1/shang_dataset/vitl/rgb/chasing/04_0001__1.npy,chasing
/media/Data1/shang_dataset/vitl/rgb/chasing/04_0001__2.npy,chasing
/media/Data1/shang_dataset/vitl/rgb/chasing/04_0001__3.npy,chasing
/media/Data1/shang_dataset/vitl/rgb/chasing/04_0001__4.npy,chasing
/media/Data1/shang_dataset/vitl/rgb/chasing/04_0001__5.npy,chasing
/media/Data1/shang_dataset/vitl/rgb/chasing/04_0001__6.npy,chasing
/media/Data1/shang_dataset/vitl/rgb/chasing/04_0001__7.npy,chasing
/media/Data1/shang_dataset/vitl/rgb/chasing/04_0001__8.npy,chasing
/media/Data1/shang_dataset/vitl/rgb/chasing/04_0001__9.npy,chasing
/media/Data1/shang_dataset/vitl/rgb/chasing/05_0024__0.npy,chasing
/media/Data1/shang_dataset/vitl/rgb/chasing/05_0024__1.npy,chasing
/media/Data1/shang_dataset/vitl/rgb/chasing/05_0024__2.npy,chasing
/media/Data1/shang_dataset/vitl/rgb/chasing/05_0024__3.npy,chasing
/media/Data1/shang_dataset/vitl/rgb/chasing/05_0024__4.npy,chasing
/media/Data1/shang_dataset/vitl/rgb/chasing/05_0024__5.npy,chasing
/media/Data1/shang_dataset/vitl/rgb/chasing/05_0024__6.npy,chasing
/media/Data1/shang_dataset/vitl/rgb/chasing/05_0024__7.npy,chasing
/media/Data1/shang_dataset/vitl/rgb/chasing/05_0024__8.npy,chasing
/media/Data1/shang_dataset/vitl/rgb/chasing/05_0024__9.npy,chasing
/media/Data1/shang_dataset/vitl/rgb/chasing/07_0007__0.npy,chasing
/media/Data1/shang_dataset/vitl/rgb/chasing/07_0007__1.npy,chasing
/media/Data1/shang_dataset/vitl/rgb/chasing/07_0007__2.npy,chasing
/media/Data1/shang_dataset/vitl/rgb/chasing/07_0007__3.npy,chasing
/media/Data1/shang_dataset/vitl/rgb/chasing/07_0007__4.npy,chasing
/media/Data1/shang_dataset/vitl/rgb/chasing/07_0007__5.npy,chasing
/media/Data1/shang_dataset/vitl/rgb/chasing/07_0007__6.npy,chasing
/media/Data1/shang_dataset/vitl/rgb/chasing/07_0007__7.npy,chasing
/media/Data1/shang_dataset/vitl/rgb/chasing/07_0007__8.npy,chasing
/media/Data1/shang_dataset/vitl/rgb/chasing/07_0007__9.npy,chasing
/media/Data1/shang_dataset/vitl/rgb/circuit/03_0036__0.npy,circuit
/media/Data1/shang_dataset/vitl/rgb/circuit/03_0036__1.npy,circuit
/media/Data1/shang_dataset/vitl/rgb/circuit/03_0036__2.npy,circuit
/media/Data1/shang_dataset/vitl/rgb/circuit/03_0036__3.npy,circuit
/media/Data1/shang_dataset/vitl/rgb/circuit/03_0036__4.npy,circuit
